sex,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Male,65,55194.0,67996.19047619044,63136.476190476096,60836.76190476185,60500.85714285707,60416.952380952294,60761.428571428485,62461.44143624928,63535.69681008366,66327.4163239816,69313.97646244103,70673.01661816769,73627.60534809789,76040.32326050001,78560.31845461285,80833.3467496561,82414.07365790465,85166.16486261343,88094.9409666402,88674.85769966044,89915.87906759063,91092.75373224486,90947.24884205102,90506.56516511545,91636.933877387,92694.48753668148,93318.99322166288,92920.94615538945,92147.58246024702,93007.65574463365,93601.75013595325,95351.32830939308,97701.38289359961,101762.33757892864,104862.12776547486,106276.38769719123,105336.11550218263,106799.03694901783,107822.89143210385,110095.713404715
Female,47,115032.0,116898.28571428565,118590.4761904761,117724.57142857142,118332.85714285707,118847.14285714283,117403.61904761902,118712.07923106683,118235.33491138002,117522.5475643555,118000.86463494261,119192.07319635683,120747.94781309545,121942.31560306699,124045.70529443148,131146.85633689185,134053.53757081128,134991.2421294904,135079.0482880664,134144.96086690528,133551.0996519254,136252.5092682505,136778.41940180742,136841.34879264823,138229.60035825687,136328.7793438468,135463.5031273312,135196.12821186366,133487.46351821284,131660.70169424516,131595.7537787944,131160.64908198264,131490.24272969045,132388.94578184746,131563.25352382922,131571.97637300205,130811.81443038162,130247.42019255765,129722.2229724427,131522.4687442183
Female,41,122118.0,123930.38095238087,123820.66666666663,123345.33333333327,124157.80952380947,126008.19047619044,127813.90476190468,129222.40712945089,131528.29492446024,139526.27791627526,142609.38883888905,143649.15331555344,143811.11953598168,142691.71338685008,141789.90566791582,144746.64926239126,145350.13422089902,145411.67584050423,146940.92734426286,144767.27894039926,143740.82846777004,143460.02961211186,141585.11326805508,139613.86309752846,139535.25493944186,139072.35482821186,139418.73875571784,140408.75018309866,139512.19179941868,139502.69095314867,138662.747450787,138027.2029017506,137426.29482732265,139402.99033304126,141447.439736627,142616.41683956108,144598.4259970666,146825.84532075742,150091.37900611767,150308.32888543044
Female,17,91340.0,90320.19047619044,90030.28571428565,92362.38095238087,92548.38095238087,92222.38095238087,91902.19047619044,91526.77572191927,90230.87387328804,94537.93321442642,96002.38948053904,98404.00237841785,102863.96796693621,106109.81495457423,111164.1708287943,111777.10774427521,113695.5873954953,116484.70096562727,118873.267514052,115718.34007063849,112475.63312029465,112495.37376172448,113291.70216989261,111523.3513398041,110632.12756679422,111001.97300118586,111294.39117981523,111524.67963232927,111816.0001947739,112134.18493991587,112422.35244098307,112668.64110554941,112913.05350026788,113157.18889273587,113395.9240059304,113670.6633602333,113994.14229447462,114364.5792629706,114785.72965802308,115265.01144597307
Female,76,40990.0,41562.0,41806.09523809522,43114.19047619044,43562.19047619044,42954.28571428565,39912.380952380874,43069.321527302214,46216.95132638862,47289.26419642805,47773.8446120664,50658.82690712565,59604.70943231981,56628.36476951846,55302.441007212234,55330.53098000461,54607.973323078244,55794.64150174185,56665.15186777123,58224.60418366702,59044.27053229084,61230.33515123063,62978.87509911689,65341.96909210501,67337.33717514141,70174.56584775644,71981.11958946584,74353.46220324344,77502.85338490386,79237.26180031148,80276.67349158524,81376.32104450485,80881.53652870128,80989.83783835205,81306.43353917824,80365.10084143464,81430.95532713823,81074.1048644027,80429.6573302403,80395.18912049144
Female,66,56584.0,59896.09523809522,71340.28571428565,67500.38095238087,65692.4761904761,65758.57142857142,64910.66666666663,66361.42619679862,67389.91747946001,69251.11002038565,70216.074651113,72876.03218464665,74917.9090200366,77710.15553065983,80113.53054265081,83550.26144651126,85574.60846051347,88415.16646784665,92205.05625061208,94229.06839039669,95366.9845044793,96636.10544195608,95896.97423989404,95985.4289207902,96278.47572496106,95065.49936380907,96214.75254229471,95751.32660760048,94965.08273338745,94950.54341942462,95666.80565462465,96563.14027913427,97345.48491522198,98949.90236496547,104034.29785587708,106356.66024704746,107055.63827396829,107058.59250675622,106510.97135762204,106446.14302555822
Male,29,171482.0,172582.76190476184,172933.23809523805,178591.80952380947,177696.3809523809,173350.95238095228,174396.76190476184,171893.4866765357,171983.77211755887,171402.43124043464,168280.43716467987,166992.9730530685,170010.30584506667,169548.43007851986,171385.39624344162,171810.6042908582,170429.6850584724,170735.85569437552,170068.5766740073,168945.17958608503,168146.87541536358,170869.08992996626,173339.9592933674,175576.60349148564,178429.72264578447,181943.21788302122,185906.60834255256,186102.4684201711,188357.11096059124,190936.09659395023,191918.71444623807,189220.89009254603,187206.68205223302,186848.21307426703,187415.58253277006,184937.6687737144,184792.41739704047,185061.75676304047,185251.92455161948,185389.019666715
Female,37,129702.0,131866.3809523809,134228.4761904761,136496.8571428571,140523.5238095238,149173.90476190468,151816.28571428565,152982.77235629607,153198.5871765593,151858.44028022216,150569.05807327264,153819.4548816866,154506.89630360465,154572.9284362374,156270.99273399205,153775.03879012668,152555.37545864243,152272.59378878027,150217.92677690645,148108.1147519886,148024.4855564225,147540.9001265881,147911.60220912943,149006.97542318283,148037.15438396984,148016.174416287,147096.4821906908,146388.10166950905,145707.49009446666,147883.18229366431,150120.74384782248,151416.25870506605,153620.22721198003,156082.2187159078,159684.81644008725,159940.7305734667,161580.89986334182,163804.4860269806,164828.63127902907,162437.17708711143
Male,70,39114.0,41234.09523809522,44672.28571428565,46840.380952380874,47022.57142857141,49464.76190476185,60498.85714285707,56216.77740646286,54331.22319025146,54005.34412735039,53833.402573180014,54118.54244013521,55614.61036778102,56580.42451461305,59001.11784680123,61611.99899174126,62842.44252550567,65463.092979153065,67570.50067230561,69796.48501961668,71859.05236338661,73289.56260143926,75749.68762295003,78335.57935799047,78926.24494017407,80041.2488614102,81107.26823754945,80992.91740681569,80665.71934102387,81646.3289427355,82625.53039261687,83188.00405370389,82856.20451162121,82193.61414165542,82969.47661534045,83502.08918513748,85057.47124031786,87160.84042560807,90789.12595846821,93548.75477131782
Male,47,112030.0,113086.09523809521,114586.28571428565,116406.66666666663,117276.9523809523,117085.14285714283,119125.23809523805,120610.56808975148,121804.20069625862,121476.90176403002,120608.52515718865,122058.52550613288,123199.66491992642,125957.31388357547,129359.1668669899,135077.0570308551,139509.04520395346,141477.24210653,139963.7565779679,141691.0378175533,142834.28096300166,146007.39583932143,145374.49860475265,143956.9918447922,146081.72918767727,144469.80686768543,144874.79874761123,144710.0214707869,142664.27284501903,141335.2592715738,142701.7487496149,142228.44191445725,143160.99021238045,143624.82423486907,142573.4971634334,142632.098166581,141994.3663768057,141115.8918516066,140778.983501898,142659.0972732565
Male,10,92700.0,91213.90476190468,94728.09523809521,97610.38095238087,103316.4761904761,108202.4761904761,112592.76190476186,117231.3944669223,117787.5538799972,121109.4867358343,124231.84632659686,125937.49436091546,122319.81298034542,119587.74748035325,119059.47001272568,120039.67628119746,117020.6746026235,117033.9913165147,117473.7257753484,117819.05850922664,118090.83877018781,118433.6497390116,118806.73214833488,119144.600897955,119433.88772024668,119719.48285453385,120003.68095479629,120283.30143431586,120598.04119499307,120966.42669594602,121385.02065895408,121861.55140367761,122400.00715872826,123009.01561317846,123681.19091573641,124412.2914618944,125189.57301149901,126066.12927243105,126990.13361163082,128012.94143719287
Male,86,13078.0,13574.0,13994.0,14460.0,15110.09523809523,16306.0,16374.0,16905.311483963804,16860.27278146588,17231.21463676886,17791.949210955507,18455.977036303728,18567.8431564328,19342.113868536908,19797.524537186906,19805.122846778562,18110.172808131018,19340.10574853894,21052.53891954581,22432.012876550492,22767.286400655103,24146.230218077428,29605.851875294007,27883.220288118282,27173.31378528769,27203.596105289856,27271.115452079415,27615.614824149838,28533.148077603022,29195.415155349438,30556.417743961847,32052.435732159833,32908.42261794342,34482.9450181159,35761.448262822814,37120.82715968142,38467.40970694724,39456.42666892706,41021.985525875025,42621.503535738
Male,90,24024.0,25968.0,27608.0,30032.0,31162.0,33068.0,34898.0,34744.02893106446,35014.60497258566,35939.91121715601,36790.42548311142,37951.9884600814,39089.04802268304,40418.072043365,42027.67514883349,43890.05534340467,45696.22587754186,47799.92403189969,49981.6642379793,51974.26001148883,52869.084310350474,54516.52693790801,57093.20446402446,60250.07587419401,63288.62566698908,66817.01425324063,73204.09225700508,77729.25257599122,81295.18250633747,84525.24661506206,87492.16684091868,90432.16543373927,93706.36056901547,97100.95990880064,101054.10794425925,105581.71907147006,110205.03629319544,115386.11562167786,120867.62309969365,126681.74917247942
Female,68,53692.0,54924.09523809522,55042.19047619044,58386.28571428565,69220.4761904761,65556.57142857142,63958.57142857141,63951.86891434742,63039.01955562965,64420.400914626036,65410.065376188606,67193.95313973047,68128.14508776624,70674.19824069148,72650.82595691548,75341.8533998809,77648.05173890546,80941.39867797382,82913.97509324847,85640.94488909729,89280.38095536383,91232.01610682065,92342.6733799129,93566.12517754361,92875.86759735366,92960.75040661698,93251.48192754023,92093.86525383979,93218.30095313647,92770.80328684807,92009.30940593625,91980.71293423326,92663.28898159001,93517.29992833505,94267.04678018068,95823.2736661801,100713.80582625486,102967.80522653321,103648.67926865489,103653.83259426767
Male,45,116306.0,117396.38095238087,117732.66666666663,118550.85714285707,120891.0476190476,122559.23809523805,123827.23809523805,123568.91366096347,122736.53332714066,124308.39873607887,125563.61858238261,128507.56474446449,132064.76821643405,138017.42490286223,142622.73250123567,144671.37038761206,143074.95336126463,144824.45409130282,145968.2282853456,149271.33745767502,148607.44594187388,147060.38729974165,149285.4755263538,147622.16895758943,148027.81567739745,147840.75875701202,145712.0899713728,144351.87355863268,145787.2351264144,145303.12306687402,146275.3144758349,146747.13163636345,145660.45634381162,145716.1144426536,145056.93719204247,144146.77476740978,143782.83736676886,145720.07195058768,147586.4136319909,148899.42338542044
Male,80,26698.0,27026.09523809522,26816.28571428566,27484.28571428566,28086.28571428566,29276.380952380878,29120.28571428566,30123.643148230658,30616.726574944267,30425.11893151227,27543.74253507847,29237.4943887106,31586.868543218035,33451.059099710474,33729.958142293035,35619.18729463902,43495.22451617249,40716.06954906622,39517.93757613468,39409.29709604042,39379.5553446715,39718.80515935103,40897.50080038402,41705.16439703088,43524.20767501902,45514.186802746066,46560.72120090347,48613.695044849635,50264.68444270181,52010.460875784476,53697.676749629085,54890.08365528028,56863.18926889003,58900.4633984666,59511.92949694846,60459.00528370266,61388.06393554104,61402.05257052106,61317.43558499168,62135.12109289643
Female,60,69942.0,71220.09523809521,72182.19047619044,74508.19047619044,75996.38095238087,79286.4761904761,81566.57142857142,84657.16052083566,87383.5292027434,91282.59927025024,93484.68159132148,96690.51981063228,100967.58394698067,103236.71084256921,104463.5094740626,105889.68064490345,104996.62619399684,105113.04091578789,105424.6274058756,104058.12991861104,105283.49055424883,104768.65945675681,103934.85741968242,103989.62582091063,104836.83297234468,105900.40347024024,106800.25518866829,108571.78249119045,114302.11316291826,116851.58170284008,117619.71938080105,117625.39073023245,116965.54967890088,116779.95488201981,119092.41959193221,119523.5723847851,119593.3142034073,120769.44307438844,119269.42407170807,118649.23654392041
Female,90,62356.0,65270.0,66786.0,69538.0,69842.0,71344.0,71896.0,70650.9639905818,70221.35555707403,70627.80954913609,70836.42593977088,71168.95684067605,71701.67648126303,72353.00573665669,74022.19261402386,75981.48527739345,78090.63699063942,80656.8221635524,83265.769507205,85581.4795959061,86734.91526758621,89283.26889451387,93088.92961031827,97148.47178234441,101179.24049368167,106073.34686501403,114345.02811686666,120485.10342880923,125441.97370231661,130018.26016718263,133928.9762723,138123.17370823323,142442.698773883,147191.07032530283,151997.58848204528,157444.00980569125,163337.9338172841,169931.03975135388,176924.62924255384,184678.53250282072
Female,1,122814.9679478,125794.25223399044,129403.80952380947,125985.80952380947,121935.80952380947,122967.80952380947,123835.61904761902,121587.04743972479,120235.31095872169,120768.17204630483,121177.578933507,121502.91205153485,121908.99216553327,122349.02545580067,122747.52095782768,123087.99495583426,123422.13195237661,123753.8292728686,124075.98494284728,124434.89145461825,124847.3718338714,125315.33845477685,125845.23189560781,126444.28866617466,127122.56943181025,127874.03911118521,128693.20672604178,129568.3965575647,130559.32974734582,131608.6509696073,132775.76375113142,133822.5080118868,134558.91046052647,135193.1819595578,135710.29667672724,136107.84679541062,136390.0809543286,136569.1702642403,136669.55072629248,136712.1670456278
Female,80,35320.0,34804.0,34696.0,34642.09523809522,35916.19047619044,36742.19047619044,37104.28571428565,38212.61304529122,38423.44490680264,38013.81263406448,35465.86927137205,38294.22019760789,41159.369086111416,42190.579670950814,42701.00960828364,45287.34285742583,53321.00143353187,50731.66688288502,49582.24211016888,49642.07692308021,49039.399530797076,50133.46749582306,50945.762233279434,52380.992869423004,53151.64025844268,55140.29743181246,56768.10516029965,58951.35619267447,60778.382177022824,63372.172148391204,65075.11812176123,67255.7361635282,70138.97822394663,71764.17101442021,72771.73211013686,73817.38957514147,73443.39561552988,73584.58783873249,73930.40909709985,73128.1901324648
Male,30,173926.0,172874.57142857142,174643.33333333326,175477.80952380947,180754.3809523809,180182.95238095228,172520.95238095237,176743.86567049404,174351.4294596389,174532.7155616392,173988.05985074368,170911.9403760847,169550.0772358124,172373.98218955524,171896.45390522544,173628.88180225866,174087.92631646828,172700.36232720764,172949.41001344146,172245.49774492305,171105.7911108564,170347.04853893287,173023.4274955716,175481.30706361227,177635.89882575226,180430.18884653287,183889.7209459624,187795.67410047926,187988.64280376368,190196.71484968928,192735.18023489148,193690.17414570364,191041.15835079586,189059.0814378748,188704.86191681324,189257.43390612683,186817.9190449576,186668.59476505124,186932.10791411845,187117.05556270288
Male,40,127338.0,128596.38095238087,129434.85714285707,129461.33333333327,132450.0952380952,134439.04761904763,137718.0952380952,141818.23826925884,148593.4982269887,153760.62229789543,156096.1838118094,154205.01347195383,156003.97263024363,157153.634893895,160908.57789152206,160152.73826340388,158123.47741378887,160712.29669503908,158877.70417973504,159285.799069911,159032.6309091316,156637.47169452926,155181.84270260946,156874.83686213958,156365.03609426878,157480.13529456942,157983.9885354926,156779.97278296825,156835.69998810143,156116.1231033976,155102.63487720944,154649.19360522664,156790.87385097437,158849.12696876208,160355.89796668646,162500.452733787,165217.68314040988,168330.16468432586,168450.34840805328,170166.11626516603
