id,value,feed_id,date
0E9ENGGMX97XZ4A9JY1W6WBKMB,OFF,1038820,2019-10-23 04:24:38
0E9ENGKKV9YGAH7NWW1V71G7JM,ON,1038820,2019-10-23 04:24:48
0E9ENMHX50QPBB1NGYBPF3VWB2,OFF,1038820,2019-10-23 04:31:42
0E9ENPX2ZRTWBBRA4MDWQ3VJMR,ON,1038820,2019-10-23 04:35:48
0E9ENQ07T4N3A2DXFRZP2KX8WC,OFF,1038820,2019-10-23 04:35:58
0E9ENQ3BW6RFTXXEZH7G7JK0BG,ON,1038820,2019-10-23 04:36:09
0E9ENQH8AKH1MBVF0SY0SR7PAQ,OFF,1038820,2019-10-23 04:36:54
0E9ENR8TH6A80HND0C2FMYN8XX,ON,1038820,2019-10-23 04:38:11
0E9ENRC1SABHMQB928J18DZ953,OFF,1038820,2019-10-23 04:38:22
0E9ENSMC97JV35AF8F5XJ2H6X1,ON,1038820,2019-10-23 04:40:34
0E9ENT3ZPR7TXXKVSWWF6VMJHZ,OFF,1038820,2019-10-23 04:41:25
0E9ENV1WAC6AAF46PCEYTFZ9Z5,ON,1038820,2019-10-23 04:43:03
0E9EQ36CY9ADH36B42D905ZZBJ,ON,1038820,2019-10-23 05:53:12
0E9EQ36EM3274YDWMS6EMXCET0,OFF,1038820,2019-10-23 05:53:12
0E9ER4SKHBWPS9DWNACKSP09WB,OFF,1038820,2019-10-23 06:51:55
0E9ER4SN3MA7KP6FK0XP9VPSE5,ON,1038820,2019-10-23 06:51:56
0E9EW0JXFKECSY1QGECXYQTRTH,OFF,1038820,2019-10-23 10:28:16
0E9EW58NXNJXCJF0EFD1W8G9X9,ON,1038820,2019-10-23 10:36:27
0E9EZCSFPFVKHCHDVC5NMMRMH3,OFF,1038820,2019-10-23 13:37:22
0E9EZCTZ4Y62RY815B2QZ0H8KF,ON,1038820,2019-10-23 13:37:27
0E9EZH5N9MR7PF0YP337YE5JF4,OFF,1038820,2019-10-23 13:45:01
0E9F1PQCZHF9RT1EPA7QPQQ3C4,ON,1038820,2019-10-23 15:46:35
0E9F1PQK1JVG57VJPX3G9HHXAS,OFF,1038820,2019-10-23 15:46:35
